Contest_ID,QB,RB,WR,WR/TE,FLEX,,Sport: Football
,,,,,,,Contest Type: Classic
,,,,,,,Game Slate: Sun 11/12 1:00 PM ET (10 Events)

,,,,,,,Instructions:
,,,,,,,SCROLL RIGHT FOR YOUR CONTEST ID LIST
,,,,,,,1. Create lineups by filling out the Contest_ID and position columns to the left.
,,,,,,,2. Each row represents a single entry.
,,,,,,,"3. To build an entry, select the Contest ID for the contest you would like to enter (provided to the right) and place it in the Contest_ID column."
,,,,,,,4. Complete the entry by placing the unique ID for each card (provided below) into a corresponding position column.
,,,,,,,5. Export this file as a CSV and re-upload it into Reignmakers at: https://www.draftkings.com/nftgames/bulkentry/upload
,,,,,,,
,,,,,,,Reminders:
,,,,,,,1. Cards must remain in your RM collection to be accepted.
,,,,,,,2. Cards must not be in another active Reignmakers entry to be accepted.
,,,,,,,3. Cards must map to an eligible position to be accepted.
,,,,,,,4. All columns in each row must be filled out for the lineup to be accepted.
,,,,,,,"5. Lineups must meet any contest rarity or other gating requirements (superstar, or series etc)."
,,,,,,,"6. Only contest IDs listed to the right will be accepted."
,,,,,,,"7. The csv will be evaluated from top to bottom, so if a later entry conflicts with an earlier entry, the earlier entry will be entered and the later entry will be rejected."
,,,,,,,8. Cards included in templates are not filtered based on set or other contest attribute requirements.
,,,,,,,"9. For set-restricted contests, double-check that your entries contain only cards from eligible sets."

,,,,,,,All Owned Cards Eligible for a Contest of this Slate,,,,,,,,,,,,,,,,,All Contests of Selected Slate
,,,,,,,WR,Amon-Ra St. Brown, ,2023, ,Rare,Play-Action,297,7de75432-6bcc-46cc-b97d-47a6ca0d0b44,7de75432-6bcc-46cc-b97d-47a6ca0d0b44+297,WR|WR/TE|FLEX,Yes,DET @ LAC 11/12 4:05 PM ET,DET,22.27,No,,
,,,,,,,S,C.J. Gardner-Johnson,IR,2023, ,Rare,Play-Action,4,2a7ef435-9f2d-49c5-a4cd-2017ca871598,2a7ef435-9f2d-49c5-a4cd-2017ca871598+4,FLEX,No,DET @ LAC 11/12 4:05 PM ET,DET,7.75,No,,
,,,,,,,QB,Sam Howell, ,2023, ,Rare,Play-Action,273,4e5edabb-89f3-4262-9563-4b77fd9bc62f,4e5edabb-89f3-4262-9563-4b77fd9bc62f+273,QB,No,WAS @ SEA 11/12 4:25 PM ET,WAS,19.73,No,,
,,,,,,,RB,Antonio Gibson, ,2023, ,Rare,Play-Action,236,ee407e90-058d-4a04-afde-3d60074714e1,ee407e90-058d-4a04-afde-3d60074714e1+236,RB|FLEX,No,WAS @ SEA 11/12 4:25 PM ET,WAS,7.12,No,,
,,,,,,,DE,Chase Young, ,2023, ,Rare,Play-Action,92,92e767cc-54ae-462b-ac56-1fd9121d7676,92e767cc-54ae-462b-ac56-1fd9121d7676+92,FLEX,No,SF @ JAX 11/12 1:00 PM ET,SF,7.13,No,,
,,,,,,,RB,Demetric Felton, ,2023, ,Elite,Play-Action,14,76a2b903-e798-467f-b959-6911b33dde27,76a2b903-e798-467f-b959-6911b33dde27+14,RB|FLEX,No,HOU @ CIN 11/12 1:00 PM ET,CIN,0.00,No,,
,,,,,,,TE,Kyle Pitts, ,2023, ,Elite,Play-Action,31,db7d58c6-d8bd-4086-8a9c-cd64bc1312fa,db7d58c6-d8bd-4086-8a9c-cd64bc1312fa+31,WR/TE|FLEX,No,ATL @ ARI 11/12 4:05 PM ET,ATL,8.50,No,,
,,,,,,,WR,Marquise Goodwin,OUT,2023, ,Elite,Play-Action,24,aa9c8a0c-0cf8-4034-b4f4-ea3ffd051891,aa9c8a0c-0cf8-4034-b4f4-ea3ffd051891+24,WR|WR/TE|FLEX,No,CLE @ BAL 11/12 1:00 PM ET,CLE,0.91,No,,
,,,,,,,WR,Brandin Cooks, ,2023, ,Elite,Play-Action,87,4aafc6e4-e794-465d-b348-3e78810a0b64,4aafc6e4-e794-465d-b348-3e78810a0b64+87,WR|WR/TE|FLEX,No,NYG @ DAL 11/12 4:25 PM ET,DAL,6.83,No,,
,,,,,,,RB,Ty Chandler, ,2023, ,Rare,Play-Action,14,b04d3e19-1042-463e-a373-3c83d512fab0,b04d3e19-1042-463e-a373-3c83d512fab0+14,RB|FLEX,No,NO @ MIN 11/12 1:00 PM ET,MIN,1.50,No,,
